 | Abstract services| #concrete service  | W0 	 	 | W1 	| W2 	 	| W3 	 	| W4 	 	 |
 | AS14280 			|  2 				 |   567 	 |567 	|  566  	|   567 	|  567 	     |
 | AS18650 			|  1 				 |   591 	 |591 	|  591  	|   591 	|  591 	     |
 | AS35591 			|  1 				 |   2211 	 |2211 	|  2211  	|   2211 	|  2211 	 | 
 | AS18712 			|  1 				 |   4305 	 |4305 	|  4305  	|   4305 	|  4305 	 | 
 | AS27715 			|  1 				 |   197 	 |197 	|  197  	|   197 	|  197  	 |
 | AS17816 			|  3 				 |   761 	 |761 	|  761  	|   761 	|  761 	     |
 | AS17819 			|  4 				 |   2325 	 |2329 	|  2325  	|   2329 	|  2329 	 | 
 | AS14259 			|  2 				 |   616 	 |616 	|  616  	|   616 	|  616  	 |
 | AS27659 			|  1 				 |   611 	 |611 	|  611  	|   611 	|  611 	     |
 | AS7050 			|  4 				 |   4201 	 |4201 	|  4198  	|   4201 	|  4201 	 | 
 | AS21470 			|  1 				 |   3093 	 |3093 	|  3093  	|   3093 	|  3093 	 | 
 | AS16814 			|  2 				 |   13 	 |13 	|  13     	|   13  	|  13   	 |
 | AS46989 			|  1 				 |   4104 	 |4104 	|  4104  	|   4104 	|  4104 	 | 
 | AS27437 			|  3 				 |   4047 	 |4050 	|  4047  	|   4047 	|  4047 	 | 
 | AS6739 			|  3 				 |   2426 	 |2426 	|  2426  	|   2426 	|  2426 	 | 
 | AS21502 			|  4 				 |   1082 	 |1082 	|  1082  	|   1082 	|  1082 	 | 
 | AS8897 			|  5 				 |   3135 	 |3135 	|  3135  	|   3135 	|  3135 	 | 
 | AS8893 			|  2 				 |   114 	 |114 	|  114  	|   114 	|  114  	 |
 | AS3549 			|  2 				 |   2448 	 |2448 	|  2448  	|   2448 	|  2448 	 | 
 | AS1680 			|  2 				 |   1628 	 |1628 	|  1628  	|   1628 	|  1628 	 | 
 | AS48347 			|  3 				 |   2271 	 |2273 	|  2271  	|   2273 	|  2271 	 | 
 | AS25653 			|  1 				 |   2361 	 |2361 	|  2361  	|   2361 	|  2361 	 | 
 | AS7303 			|  1 				 |   8 	     |8 	|  8     	|   8   	|  8    	 |
 | AS8437 			|  1 				 |   118 	 |118 	|  118  	|   118 	|  118  	 |
 | AS24875 			|  1 				 |   2005 	 |2005 	|  2005  	|   2005 	|  2005 	 | 
 | AS8677 			|  1 				 |   1193 	 |1193 	|  1193  	|   1193 	|  1193 	 | 
 | AS19855 			|  3 				 |   3652 	 |3653 	|  3652  	|   3652 	|  3652 	 | 
 | AS2669 			|  1 				 |   553 	 |553 	|  553  	|   553 	|  553  	 |
 | AS15146 			|  5 				 |   3532 	 |3532 	|  3532  	|   3532 	|  3532 	 | 
 | AS24971 			|  4 				 |   949 	 |949 	|  949  	|   949 	|  949  	 |
 | AS8771 			|  1 				 |   2314 	 |2314 	|  2314  	|   2314 	|  2314 	 | 
 | AS766 			|  11 				 |   2366 	 |2366 	|  2366  	|   2366 	|  2366 	 | 
 | AS760 			|  3 				 |   90 	 |92 	|  90    	|   92  	|  90   	 |
 | AS23650 			|  22 				 |   625 	 |853 	|  625  	|   625 	|  625  	 |
 | AS14492 			|  5 				 |   4084 	 |4084 	|  4084  	|   4084 	|  4084 	 | 
 | AS8737 			|  13 				 |   1940 	 |1940 	|  1932  	|   1940 	|  1940 	 | 
 | AS6461 			|  43 				 |   3321 	 |3321 	|  3321  	|   3321 	|  3321 	 | 
 | AS19019 			|  1 				 |   4313 	 |4313 	|  4313  	|   4313 	|  4313 	 | 
 | AS19574 			|  4 				 |   1463 	 |1463 	|  1463  	|   1463 	|  1463 	 | 
 | AS36066 			|  2 				 |   3752 	 |3752 	|  3752  	|   3752 	|  3752 	 | 
 | AS41045 			|  2 				 |   984 	 |984 	|  984  	|   984 	|  984 	     |
 | AS2687 			|  1 				 |   2057 	 |2057 	|  2057  	|   2057 	|  2057 	 | 
 | AS1267 			|  1 				 |   1800 	 |1800 	|  1800  	|   1800 	|  1800 	 | 
 | AS19271 			|  18 				 |   4009 	 |4009 	|  4009  	|   4009 	|  4009 	 | 
 | AS25577 			|  1 				 |   3047 	 |3047 	|  3047  	|   3047 	|  3047 	 | 
 | AS87 			|  5 				 |   4112 	 |4112 	|  4111  	|   4112 	|  4112 	 | 
 | AS23724 			|  2 				 |   718 	 |718 	|  718  	|   718 	|  718  	 |
 | AS40244 			|  5 				 |   4461 	 |4461 	|  4461  	|   4461 	|  4461 	 | 
 | AS36994 			|  1 				 |   2362 	 |2362 	|  2362  	|   2362 	|  2362 	 | 
 | AS1313 			|  2 				 |   3403 	 |3403 	|  3403  	|   3403 	|  3403 	 | 
 | AS1312 			|  6 				 |   3243 	 |3243 	|  3243  	|   3243 	|  3243 	 | 
 | AS9117 			|  4 				 |   1614 	 |1614 	|  1614  	|   1614 	|  1614 	 | 
 | AS9116 			|  2 				 |   1630 	 |1630 	|  1615  	|   1630 	|  1630 	 | 
 | AS8551 			|  4 				 |   1620 	 |1634 	|  1620  	|   1634 	|  1634 	 | 
 | AS8553 			|  3 				 |   3113 	 |3113 	|  3113  	|   3113 	|  3113 	 | 
 | AS16397 			|  1 				 |   209 	 |209 	|  209  	|   209 	|  209  	 |
 | AS19875 			|  5 				 |   547 	 |549 	|  547  	|   547 	|  547  	 |
 | AS17 			|  4 				 |   4136 	 |4136 	|  4136  	|   4136 	|  4136 	 | 
 | AS15366 			|  4 				 |   1246 	 |1246 	|  1244  	|   1246 	|  1246 	 | 
 | AS12338 			|  1 				 |   2442 	 |2442 	|  2442  	|   2442 	|  2442 	 | 
 | AS34989 			|  1 				 |   2113 	 |2113 	|  2113  	|   2113 	|  2113 	 | 
 | AS12334 			|  1 				 |   2430 	 |2430 	|  2430  	|   2430 	|  2430 	 | 
 | AS34323 			|  1 				 |   2673 	 |2673 	|  2673  	|   2673 	|  2673 	 | 
 | AS39906 			|  1 				 |   919 	 |919 	|  919  	|   919 	|  919  	 |
 | AS55481 			|  4 				 |   44 	 |47 	|  44   	|   44  	|  44   	 |
 | AS5603 			|  2 				 |   2345 	 |2349 	|  2345  	|   2349 	|  2349 	 | 
 | AS5769 			|  1 				 |   597 	 |597 	|  597  	|   597 	|  597  	 |
 | AS9166 			|  1 				 |   162 	 |162 	|  162  	|   162 	|  162  	 |
 | AS9167 			|  1 				 |   2521 	 |2521 	|  2521  	|   2521 	|  2521 	 | 
 | AS39418 			|  10 				 |   963 	 |970 	|  959  	|   970 	|  963  	 |
 | AS31727 			|  4 				 |   2922 	 |2922 	|  1582  	|   2922 	|  2922 	 | 
 | AS34932 			|  2 				 |   976 	 |976 	|  976  	|   976 	|  976 	     |
 | AS5786 			|  3 				 |   2212 	 |2214 	|  2212  	|   2214 	|  2214 	 | 
 | AS5784 			|  3 				 |   2052 	 |2052 	|  2052  	|   2052 	|  2052 	 | 
 | AS8167 			|  1 				 |   186 	 |186 	|  186  	|   186 	|  186  	 |
 | AS5464 			|  2 				 |   1314 	 |1314 	|  1314  	|   1314 	|  1314 	 | 
 | AS9848 			|  4 				 |   2232 	 |2233 	|  2232  	|   2233 	|  2233 	 | 
 | AS29097 			|  3 				 |   2538 	 |2540 	|  2538  	|   2538 	|  2538 	 | 
 | AS27823 			|  1 				 |   15 	 |15 	|  15   	|   15  	|  15    	 |
 | AS2856 			|  9 				 |   3049 	 |3049 	|  3049  	|   3049 	|  3049 	 | 
 | AS39582 			|  1 				 |   2656 	 |2656 	|  2656  	|   2656 	|  2656 	 | 
 | AS13618 			|  1 				 |   4495 	 |4495 	|  4495  	|   4495 	|  4495 	 | 
 | AS29076 			|  5 				 |   2275 	 |2293 	|  2275  	|   2293 	|  2293 	 | 
 | AS9942 			|  1 				 |   78 	 |78 	|  78   	|   78   	|  78   	 |
 | AS18229 			|  1 				 |   1564 	 |1564 	|  1564  	|   1564 	|  1564 	 | 
 | AS29485 			|  3 				 |   904 	 |904 	|  904  	|   904 	|  904 	     |
 | AS29951 			|  8 				 |   3856 	 |3860 	|  3856  	|   3856 	|  3856 	 | 
 | AS3320 			|  8 				 |   1391 	 |1391 	|  1391  	|   1391 	|  1391 	 | 
 | AS3327 			|  1 				 |   1035 	 |1035 	|  1035  	|   1035 	|  1035 	 | 
 | AS3324 			|  1 				 |   2425 	 |2425 	|  2425  	|   2425 	|  2425 	 | 
 | AS29551 			|  1 				 |   1472 	 |1472 	|  1472  	|   1472 	|  1472 	 | 
 | AS25184 			|  1 				 |   1591 	 |1591 	|  1591  	|   1591 	|  1591 	 | 
 | AS25180 			|  2 				 |   3090 	 |3090 	|  3090  	|   3090 	|  3090 	 | 
 | AS4808 			|  10 				 |   670 	 |770 	|  670  	|   770 	|  670  	 |
 | AS32577 			|  10 				 |   3638 	 |3638 	|  3640  	|   3638 	|  3638 	 | 
 | AS15961 			|  1 				 |   3075 	 |3075 	|  3075  	|   3075 	|  3075 	 | 
 | AS15967 			|  1 				 |   2185 	 |2185 	|  2185  	|   2185 	|  2185 	 | 
 | AS24426 			|  1 				 |   775 	 |775 	|  775  	|   775 	|  775  	 |
 | AS17431 			|  2 				 |   752 	 |753 	|  752  	|   753 	|  753 	     |
 | AS32475 			|  3 				 |   3728 	 |3729 	|  3728  	|   3729 	|  3728 	 | 
 | AS24994 			|  4 				 |   1783 	 |1783 	|  1783  	|   1783 	|  1783 	 | 
 | AS2819 			|  2 				 |   918 	 |946 	|  918  	|   918 	|  918 	     |
 | AS17439 			|  1 				 |   1555 	 |1555 	|  1555  	|   1555 	|  1555 	 | 
 | AS42503 			|  1 				 |   2187 	 |2187 	|  2187  	|   2187 	|  2187 	 | 
 | AS17941 			|  1 				 |   1890 	 |1890 	|  1890  	|   1890 	|  1890 	 | 
 | AS34619 			|  2 				 |   2659 	 |2659 	|  2659  	|   2659 	|  2659 	 | 
 | AS21740 			|  8 				 |   1766 	 |1766 	|  1766  	|   1766 	|  1766 	 | 
 | AS4732 			|  4 				 |   1865 	 |1865 	|  1865  	|   1865 	|  1865 	 | 
 | AS21745 			|  2 				 |   3529 	 |3529 	|  3529  	|   3529 	|  3529 	 | 
 | AS3786 			|  5 				 |   2215 	 |2225 	|  2215  	|   2225 	|  2225 	 | 
 | AS45459 			|  1 				 |   2056 	 |2056 	|  2056  	|   2056 	|  2056 	 | 
 | AS43638 			|  1 				 |   2188 	 |2188 	|  2188  	|   2188 	|  2188 	 | 
 | AS45454 			|  1 				 |   75 	 |75 	|  75   	|   75  	|  75   	 |
 | AS24631 			|  1 				 |   1592 	 |1592 	|  1592  	|   1592 	|  1592 	 | 
 | AS35470 			|  1 				 |   157 	 |157 	|  157  	|   157 	|  157  	 |
 | AS32613 			|  13 				 |   99 	 |94 	|  93   	|   94  	|  99 	     |
 | AS196704 		|  1 				 |   2524 	 |2524 	|  2524  	|   2524 	|  2524 	 |
 | AS12880 			|  1 				 |   1595 	 |1595 	|  1595  	|   1595 	|  1595 	 | 
 | AS6724 			|  15 				 |   1424 	 |1424 	|  1424  	|   1424 	|  1424 	 | 
 | AS7381 			|  1 				 |   4061 	 |4061 	|  4061  	|   4061 	|  4061 	 | 
 | AS23237 			|  1 				 |   573 	 |573 	|  573  	|   573 	|  573   	 |
 | AS42022 			|  1 				 |   2109 	 |2109 	|  2109  	|   2109 	|  2109 	 | 
 | AS27030 			|  3 				 |   4469 	 |4469 	|  4467  	|   4469 	|  4469 	 | 
 | AS20021 			|  2 				 |   3122 	 |3122 	|  3122  	|   3122 	|  3122 	 | 
 | AS33055 			|  6 				 |   4083 	 |4083 	|  4083  	|   4083 	|  4083 	 | 
 | AS24038 			|  2 				 |   2321 	 |2321 	|  2321  	|   2321 	|  2321 	 | 
 | AS45427 			|  1 				 |   74 	 |74 	|  74   	|   74  	|  74   	 |
 | AS45352 			|  2 				 |   1901 	 |1901 	|  1901  	|   1901 	|  1901 	 | 
 | AS375 			|  1 				 |   1048 	 |1048 	|  1048  	|   1048 	|  1048 	 | 
 | AS27357 			|  1 				 |   4228 	 |4228 	|  4228  	|   4228 	|  4228 	 | 
 | AS23655 			|  1 				 |   2055 	 |2055 	|  2055  	|   2055 	|  2055 	 | 
 | AS15703 			|  2 				 |   1969 	 |1969 	|  1969  	|   1969 	|  1969 	 | 
 | AS41913 			|  2 				 |   2568 	 |2568 	|  2568  	|   2568 	|  2568 	 | 
 | AS11305 			|  3 				 |   4046 	 |4046 	|  3688  	|   4046 	|  4046 	 | 
 | AS7256 			|  12 				 |   4435 	 |4435 	|  4435  	|   4435 	|  4435 	 | 
 | AS2553 			|  1 				 |   4079 	 |4079 	|  4079  	|   4079 	|  4079 	 | 
 | AS1975 			|  1 				 |   4395 	 |4395 	|  4395  	|   4395 	|  4395 	 | 
 | AS2497 			|  1 				 |   1885 	 |1885 	|  1885  	|   1885 	|  1885 	 | 
 | AS6650 			|  3 				 |   4366 	 |4366 	|  4366  	|   4366 	|  4366 	 | 
 | AS8767 			|  4 				 |   1352 	 |1352 	|  1352  	|   1352 	|  1352 	 | 
 | AS24969 			|  2 				 |   999 	 |1004 	|  999  	|   999 	|  999  	 |
 | AS15670 			|  3 				 |   1984 	 |1984 	|  1982  	|   1984 	|  1984 	 | 
 | AS1785 			|  1 				 |   4105 	 |4105 	|  4105  	|   4105 	|  4105 	 | 
 | AS11274 			|  3 				 |   3770 	 |3768 	|  3768  	|   3770 	|  3770 	 | 
 | AS11279 			|  1 				 |   3249 	 |3249 	|  3249  	|   3249 	|  3249 	 | 
 | AS19066 			|  3 				 |   4159 	 |4159 	|  4159  	|   4159 	|  4159 	 | 
 | AS6471 			|  1 				 |   615 	 |615 	|  615  	|   615 	|  615  	 |
 | AS1257 			|  1 				 |   2505 	 |2505 	|  2505  	|   2505 	|  2505 	 | 
 | AS1251 			|  10 				 |   194 	 |194 	|  175  	|   194 	|  194 	     |
 | AS44398 			|  1 				 |   1001 	 |1001 	|  1001  	|   1001 	|  1001 	 | 
 | AS11456 			|  2 				 |   4151 	 |4151 	|  4151  	|   4151 	|  4151 	 | 
 | AS156 			|  2 				 |   4179 	 |4180 	|  4179  	|   4180 	|  4179 	 | 
 | AS25260 			|  5 				 |   1268 	 |1268 	|  1268  	|   1270 	|  1268 	 | 
 | AS41075 			|  3 				 |   1516 	 |1516 	|  1516  	|   1516 	|  1516 	 | 
 | AS44009 			|  4 				 |   2993 	 |2993 	|  2993  	|   2993 	|  2993 	 | 
 | AS41175 			|  3 				 |   2980 	 |2980 	|  2980  	|   2980 	|  2980 	 | 
 | AS20847 			|  1 				 |   2009 	 |2009 	|  2009  	|   2009 	|  2009 	 | 
 | AS9667 			|  1 				 |   52 	 |52 	|  52   	|   52  	|  52   	 |
 | AS12714 			|  2 				 |   2279 	 |2280 	|  2279  	|   2280 	|  2280 	 | 
 | AS12715 			|  1 				 |   2427 	 |2427 	|  2427  	|   2427 	|  2427 	 | 
 | AS16095 			|  3 				 |   998 	 |1016 	|  998  	|   1016 	|  1016 	 | 
 | AS25504 			|  4 				 |   1330 	 |1330 	|  1330  	|   1330 	|  1330 	 | 
 | AS36476 			|  4 				 |   4013 	 |4013 	|  4013  	|   4013 	|  4013 	 | 
 | AS33626 			|  3 				 |   40 	 |40 	|  40   	|   40  	|  40   	 |
 | AS9808 			|  2 				 |   786 	 |786 	|  786  	|   786 	|  786  	 |
 | AS20594 			|  4 				 |   3635 	 |3635 	|  3635  	|   3635 	|  3635 	 | 
 | AS55403 			|  1 				 |   2625 	 |2625 	|  2625  	|   2625 	|  2625 	 | 
 | AS8426 			|  5 				 |   3038 	 |3038 	|  3038  	|   3038 	|  3038 	 | 
